MES;LOTE;DISTRITO;Kg Recogida de muebles;Kg Recogida Residuos Viarios;Nº Servicios Barrido Manual;Nº Servicios Barrido Mecánico;Nº Servicios Barrido Mixto;Nº Servicios Baldeo Mixto;Nº Servicios Baldeo Mecánico;Nº Servicios Eliminación Grafitis;M2 Eliminación Grafitis;Ud Reposición Bolsas Caninas;;
ENERO 2019;1;CENTRO - ARGÜELLES;36240;703820;3169;16;69;392;15;621;3676;612000;;
ENERO 2019;1;CHAMBERÍ;20180;344470;854;29;134;97;38;199;646;348000;;
ENERO 2019;1;TETUÁN;1000;443580;907;45;187;118;30;225;881;324000;;
ENERO 2019;2;ARGANZUELA;3080;126920;766;25;80;110;53;277;1025,82;260000;;
ENERO 2019;2;RETIRO;11080;341360;674;22;76;28;54;107;354,02;418660;;
ENERO 2019;2;SALAMANCA;23620;907940;1042;25;69;83;78;97;823,58;462830;;
ENERO 2019;2;CHAMARTÍN;11480;340060;893;105;37;34;37;129;856,1;320000;;
ENERO 2019;3;FUENCARRAL;3420;351120;841;18;109;87;62;274;3022;428000;;
ENERO 2019;3;MONCLOA;12620;135820;415;18;79;77;59;141;453;269800;;
ENERO 2019;3;LATINA;3440;456720;595;0;216;252;19;629;6970;348000;;
ENERO 2019;4;BARAJAS;16580;179088;214;17;91;29;23;62;573;187360;;
ENERO 2019;4;HORTALEZA;37200;328252;607;54;210;46;61;254;1495;460700;;
ENERO 2019;4;SAN BLAS;32300;369660;717;24;178;37;18;189;2010;403700;;
ENERO 2019;4;CIUDAD LINEAL;40820;784800;963;25;176;32;35;463;3114;510100;;
ENERO 2019;5;PTE. VALLECAS;5160;658170;1807;69;279;140;132;723;1146,96;380000;;
ENERO 2019;5;VILLA VALLECAS;1548;197451;450;10;80;62;39;247;359,26;132000;;
ENERO 2019;5;MORATALAZ;2064;263268;416;41;106;24;23;243;693,34;260000;;
ENERO 2019;5;VICÁLVARO;1548;197451;299;24;94;84;37;157;338,62;152000;;
ENERO 2019;6;CARABANCHEL;4480;502216;1508;46;215;252;137;65;3211,47;459555;;
ENERO 2019;6;USERA;2800;313886;895;9;138;94;53;25;538,34;250125;;
ENERO 2019;6;VILLAVERDE;3920;439439;823;17;77;104;55;17;198,14;292543;;
FEBRERO 2019;1;CENTRO - ARGÜELLES;27880;636702;2382;7;17;795;76;677;3083;564000;;
FEBRERO 2019;1;CHAMBERÍ;18820;323640;665;25;20;269;87;179;515,5;348000;;
FEBRERO 2019;1;TETUÁN;1980;352320;704;38;22;297;49;289;1688;324000;;
FEBRERO 2019;2;ARGANZUELA;4060;120660;764;43;11;199;67;564;1475,47;334000;;
FEBRERO 2019;2;RETIRO;12240;289980;653;19;41;80;66;119;244,48;389600;;
FEBRERO 2019;2;SALAMANCA;29720;811020;911;36;44;142;68;104;1514;418040;;
FEBRERO 2019;2;CHAMARTÍN;11760;212245;861;8;20;128;44;119;908,3;324000;;
FEBRERO 2019;3;FUENCARRAL;3420;453620;899;34;68;63;65;337;3911,49;428000;;
FEBRERO 2019;3;MONCLOA;15380;151726;552;0;28;64;60;191;785,75;0;;
FEBRERO 2019;3;LATINA;83720;442140;520;0;110;220;23;623;11192,52;332000;;
FEBRERO 2019;4;BARAJAS;21020;95624;201;19;48;43;37;63;215;176800;;
FEBRERO 2019;4;HORTALEZA;64640;182556;569;33;132;75;81;250;1509;453050;;
FEBRERO 2019;4;SAN BLAS;39340;361140;744;21;54;116;51;291;1361;369100;;
FEBRERO 2019;4;CIUDAD LINEAL;47520;535740;964;2;102;136;73;254;1458;477270;;
FEBRERO 2019;5;PTE. VALLECAS;7010;622740;1363;56;215;126;154;841;1650,29;380000;;
FEBRERO 2019;5;VILLA VALLECAS;2103;186822;336;1;45;65;40;226;467,2;132000;;
FEBRERO 2019;5;MORATALAZ;2804;249096;265;28;97;30;22;327;932,54;180000;;
FEBRERO 2019;5;VICÁLVARO;2103;186822;244;22;55;84;39;188;979,34;112000;;
FEBRERO 2019;6;CARABANCHEL;6784;457056;1343;44;207;167;136;67;5410,87;460958;;
FEBRERO 2019;6;USERA;4240;285660;785;14;90;53;76;33;858,69;252263;;
FEBRERO 2019;6;VILLAVERDE;5936;399924;652;12;65;60;48;18;119,73;288972;;
MARZO 2019;1;CENTRO - ARGÜELLES;29340;729450;2585;10;27;823;77;606;2479;556000;;
MARZO 2019;1;CHAMBERÍ;24640;408030;705;7;0;346;89;118;266;348000;;
MARZO 2019;1;TETUÁN;4140;355120;790;37;0;300;53;259;992;324000;;
MARZO 2019;2;ARGANZUELA;4400;122840;834;49;0;226;77;612;1270,32;324000;;
MARZO 2019;2;RETIRO;10320;309660;706;21;33;106;65;128;243,46;430600;;
MARZO 2019;2;SALAMANCA;23900;783530;984;65;2;193;67;110;965;462830;;
MARZO 2019;2;CHAMARTÍN;13100;289850;839;15;39;128;40;157;1222,36;320000;;
MARZO 2019;3;FUENCARRAL;2220;496640;1004;8;45;81;93;351;3253;428000;;
MARZO 2019;3;MONCLOA;16420;110120;599;2;15;61;67;273;631;270000;;
MARZO 2019;3;LATINA;6080;539200;618;1;51;262;40;764;9747;340000;;
MARZO 2019;4;BARAJAS;20800;105262;228;12;43;48;41;97;614;202800;;
MARZO 2019;4;HORTALEZA;62720;211138;617;29;110;91;107;224;1137;491575;;
MARZO 2019;4;SAN BLAS;44360;367680;769;32;6;158;62;174;1433;402850;;
MARZO 2019;4;CIUDAD LINEAL;62320;678490;1015;0;43;152;81;447;3241;533800;;
MARZO 2019;5;PTE. VALLECAS;8120;641260;1456;63;197;134;138;791;1927,39;380000;;
MARZO 2019;5;VILLA VALLECAS;2436;192378;336;1;50;74;31;219;655,02;132000;;
MARZO 2019;5;MORATALAZ;3248;256504;274;25;104;31;24;397;689,74;180000;;
MARZO 2019;5;VICÁLVARO;2436;192378;229;10;55;87;42;122;221,99;112000;;
MARZO 2019;6;CARABANCHEL;4560;537200;1552;43;202;208;120;31;5542,57;460857;;
MARZO 2019;6;USERA;2850;335750;808;17;130;62;58;13;387,67;254219;;
MARZO 2019;6;VILLAVERDE;3990;470050;739;20;101;78;65;11;639,46;286857;;
ABRIL 2019;1;CENTRO - ARGÜELLES;27380;705064;2572;11;27;930;66;805;3318;572000;;
ABRIL 2019;1;CHAMBERÍ;16180;355740;672;7;48;359;114;202;385;348000;;
ABRIL 2019;1;TETUÁN;5260;355360;754;25;5;357;60;271;1251;324000;;
ABRIL 2019;2;ARGANZUELA;5620;83152;889;35;4;222;57;455;986,8;284000;;
ABRIL 2019;2;RETIRO;15600;296880;719;14;30;102;54;117;238,08;410700;;
ABRIL 2019;2;SALAMANCA;19420;799100;923;41;2;183;83;99;1196;447900;;
ABRIL 2019;2;CHAMARTÍN;10520;348299;812;9;51;170;40;171;1239,53;323000;;
ABRIL 2019;3;FUENCARRAL;3120;493758;940;5;35;82;80;292;2850;42800;;
ABRIL 2019;3;MONCLOA;19200;173420;514;5;17;59;60;220;595;269940;;
ABRIL 2019;3;LATINA;8240;555180;549;4;53;248;30;1295;15800;340000;;
ABRIL 2019;4;BARAJAS;24160;101488;195;13;40;38;32;93;278;176950;;
ABRIL 2019;4;HORTALEZA;61200;200932;683;30;101;102;74;306;983;552810;;
ABRIL 2019;4;SAN BLAS;35760;434030;677;17;38;164;72;440;2701;386650;;
ABRIL 2019;4;CIUDAD LINEAL;40280;587650;993;1;71;154;79;480;3380;550400;;
ABRIL 2019;5;PTE. VALLECAS;8380;686230;1560;58;197;147;131;685;2168,28;380000;;
ABRIL 2019;5;VILLA VALLECAS;2514;205869;343;23;103;70;42;227;460,98;132000;;
ABRIL 2019;5;MORATALAZ;3352;274492;313;1;73;29;24;191;627,31;180000;;
ABRIL 2019;5;VICÁLVARO;2514;205869;222;11;54;84;41;162;402,51;112000;;
ABRIL 2019;6;CARABANCHEL;5480;522816;1426;43;132;181;103;72;4389,86;460181;;
ABRIL 2019;6;USERA;3424,5;326760;760;15;142;51;56;20;913,11;256615;;
ABRIL 2019;6;VILLAVERDE;4795,5;457463,8;707;12;55;64;59;19;1462,11;292049;;
MAYO 2019;1;CENTRO - ARGÜELLES;38260;749603;2599;14;32;969;83;804;3648;596000;;
MAYO 2019;1;CHAMBERÍ;15960;364790;732;12;39;376;117;164;324;348000;;
MAYO 2019;1;TETUÁN;17040;470820;943;59;25;390;58;409;1739;424000;;
MAYO 2019;2;ARGANZUELA;3160;101748;712;28;9;172;56;451;1694,92;308050;;
MAYO 2019;2;RETIRO;18700;224824;532;36;13;67;55;111;227,82;370200;;
MAYO 2019;2;SALAMANCA;24260;536940;694;29;18;162;62;77;590;298600;;
MAYO 2019;2;CHAMARTÍN;16340;333980;628;3;56;148;28;167;2781,25;282000;;
MAYO 2019;3;FUENCARRAL;2860;539180;928;11;75;91;86;275;2412;428000;;
MAYO 2019;3;MONCLOA;15280;157580;597;3;33;62;53;266;465;270000;;
MAYO 2019;3;LATINA;5060;579402;525;0;87;268;18;1538;11274;324000;;
MAYO 2019;4;BARAJAS;23000;113040;220;7;45;40;31;63;291;189250;;
MAYO 2019;4;HORTALEZA;57040;226360;671;27;89;92;74;403;1702;494700;;
MAYO 2019;4;SAN BLAS;43140;409220;729;25;40;163;60;421;2223;403850;;
MAYO 2019;4;CIUDAD LINEAL;49100;657400;1023;0;68;147;66;323;2378;531300;;
MAYO 2019;5;PTE. VALLECAS;8360;722790;1527;63;214;148;122;363;947,41;380000;;
MAYO 2019;5;VILLA VALLECAS;2508;216837;342;25;102;69;37;100;436,78;132000;;
